missionID: mission_001
missionName: チュートリアル
client: All_Union
reward: 1000
description: 基本操作などの確認
sceneName: TutorialStage
missionImage: Images/Mission/チュートリアル
companyImage: Images/Mission/All_Union
stageName: Tutorial
objectives: ||
objectiveAmounts: ||
rewardAmount: 1000
messages: ようこそ。|私は傭兵支援システム「オールユニオン」です。|こちらは新兵向けチュートリアルステージとなります。|本作戦では、A.C.E.T.Sシリーズ機体が支給されています。|当該機体は、A.C.E.T.S開発チーム「Loose Bolts」により、実践運用を前提として設計されました。|本ステージでは操作方法を含む基礎訓練を行います。|修了者には報酬が支給されますので、奮ってご参加ください。
voices: VoiceClips/All-Union/チュートリアル/001|VoiceClips/All-Union/チュートリアル/002|VoiceClips/All-Union/チュートリアル/003|VoiceClips/All-Union/チュートリアル/004|VoiceClips/All-Union/チュートリアル/005|VoiceClips/All-Union/チュートリアル/006|VoiceClips/All-Union/チュートリアル/007
battlesceneName: TutorialStage
